Verse/Reference,Arabic,Translation,Scientific Topic,Explanation,Source
Quran 21:30,وَجَعَلْنَا مِنَ الْمَاءِ كُلَّ شَيْءٍ حَيٍّ,And We made from water every living thing.,Cell Biology,"Modern biology confirms that water is essential for all known forms of life. Cells, the basic units of life, are mostly composed of water.",https://www.sciencedaily.com/releases/2007/06/070614103104.htm
Quran 23:12-14,وَلَقَدْ خَلَقْنَا الإِنسَانَ مِن سُلالَةٍ مِّن طِينٍ...,We created man from an extract of clay... then We made him into a drop in a secure place...,Embryology,"Describes stages of embryonic development, aligning with modern embryology in terms of sequence and stages.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5473497/
Hadith (Bukhari),الطُّهُورُ شَطْرُ الْإِيمَانِ,Cleanliness is half of faith.,Hygiene,"Washing hands, face, and feet regularly (wudu) is proven to reduce infections and promote health.",https://www.cdc.gov/handwashing/why-handwashing.html
Quran 86:5-7,فَلْيَنظُرِ الْإِنسَانُ مِمَّ خُلِقَ * خُلِقَ مِن مَّاءٍ دَافِقٍ,Let man consider from what he is created. He is created from a gushing fluid.,Reproduction,"Describes the role of gushing fluid (seminal fluid) in human creation, corresponding with reproductive biology.",https://www.ncbi.nlm.nih.gov/books/NBK279054/
Hadith (Tirmidhi),إِذَا قُمْتَ إِلَى الصَّلَاةِ فَأَسْبِغِ الْوُضُوءَ,"When you get up for prayer, perform the ablution properly.",Mental Focus and Health,"Ritual washing has shown psychological calming effects, reducing stress and increasing mindfulness before prayer.",https://www.frontiersin.org/articles/10.3389/fpsyg.2019.00064/full
Quran 78:6-7,أَلَمْ نَجْعَلِ الْأَرْضَ مِهَادًا * وَالْجِبَالَ أَوْتَادًا,Have We not made the earth a resting place? And the mountains as pegs?,Geology,"Mountains have deep roots that stabilize the Earth's crust, much like pegs hold down tents.",https://www.britannica.com/science/isostasy
Quran 16:68-69,وَأَوْحَىٰ رَبُّكَ إِلَى ٱلنَّحْلِ أَنِ ٱتَّخِذِى مِنَ ٱلْجِبَالِ بُيُوتًا...,"And your Lord inspired the bee, saying: 'Build your homes in the hills, on the trees, and in (men's) habitations.'",Entomology,"Describes bee behavior and honey’s healing properties, confirmed by science.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5424551/
Quran 51:47,وَالسَّمَاءَ بَنَيْنَاهَا بِأَيْيدٍ وَإِنَّا لَمُوسِعُونَ,"And the heaven We constructed with strength, and indeed, We are [its] expander.",Cosmology,"Refers to the expanding universe, discovered by modern astronomy (Hubble's Law).",https://www.nasa.gov/feature/goddard/2019/hubble-s-law-and-the-expanding-universe
Quran 24:40,أَوْ كَظُلُمَاتٍ فِي بَحْرٍ لُّجِّيٍّ يَغْشَاهُ مَوْجٌ...,"Or [they are] like darknesses within an unfathomable sea which is covered by waves, upon which are waves...",Oceanography,"Describes internal waves in deep seas, a concept discovered only in the 20th century.",https://www.nature.com/articles/244453a0
Quran 95:4,لَقَدْ خَلَقْنَا الْإِنسَانَ فِي أَحْسَنِ تَقْوِيمٍ,We have certainly created man in the best of stature.,Human Anatomy,Human body is anatomically and physiologically balanced; bipedal structure is a marvel of biology.,https://www.ncbi.nlm.nih.gov/books/NBK279399/
